item,mean1,std1,mean2,std2,t,p
1,2.0476190476190474,0.864649667564296,2.25,1.03209369308428,-0.707092556404942,0.48332355627623236
2,2.3043478260869565,1.06321906614239,2.230769230769231,1.0318020084373671,0.24559121433291076,0.8070679772651048
3,2.25,1.3269776053940743,2.12,1.0535653752852738,0.3806091266026026,0.7052081749844177
4,1.8571428571428572,1.167320591199077,2.0,1.1055415967851334,-0.3583383398639304,0.7225188973348311
5,2.4583333333333335,1.2846642825425558,2.2916666666666665,1.2676293062133799,0.4524067391403206,0.6531023966682921
6,2.3684210526315788,0.9551338658818385,2.4,1.1547005383792517,-0.09663304126452649,0.9234774632804831
7,2.0,1.1547005383792515,2.375,1.0134958870382644,-1.0844036296931556,0.2850182064022968
8,2.227272727272727,0.9223065383316713,2.4545454545454546,0.9625003513801574,-0.7996649724787888,0.42840462861055995
9,1.8125,1.1086778913041726,2.388888888888889,1.0921586228732252,-1.5251276157301483,0.13705090755306257
10,2.65,0.9333020044867296,2.619047619047619,1.2440333788202982,0.0897638338386847,0.9289343049671335
11,2.05,1.3562719801759993,3.1176470588235294,0.9926198253344827,-2.6886444298836856,0.010911455965032745
