item,mean1,std1,mean2,std2,t,p
1,2.185185185185185,0.9919311082680919,2.232876712328767,0.9649488752318763,-0.27210351544488964,0.7859913616535841
2,2.2857142857142856,1.0906926192151434,2.2916666666666665,0.9106181154098989,-0.033634847609446156,0.9732215577547934
3,2.3636363636363638,1.2226812728383039,1.9402985074626866,1.0427323811190012,2.0639447199146566,0.041178693429620036
4,1.9130434782608696,1.151348715522061,2.02,0.9581018649775551,-0.496211557097266,0.6209034805441728
5,2.4166666666666665,1.1091555295361264,2.5342465753424657,1.093950432820096,-0.6129517045897145,0.5409709507111604
6,2.309090909090909,1.051854222978311,2.420289855072464,1.0059499037557262,-0.5992771058171302,0.5500993696680796
7,2.0416666666666665,1.1661599710220654,2.343283582089552,0.9931925689254789,-1.4927035687995298,0.13830159665686087
8,2.259259259259259,1.084803872112551,2.523076923076923,0.9699821568541271,-1.3997706256462017,0.16422796749588314
9,2.0217391304347827,1.2200023758589362,2.442622950819672,1.072762635502909,-1.8936318980549633,0.06102641191440328
10,2.5090909090909093,1.1364781087123903,2.421875,1.0955130348488828,0.4255707403074482,0.6712024457779131
11,2.5283018867924527,1.2185074979237394,2.8275862068965516,1.094450611750388,-1.3632669950597402,0.1756077010742019
