item,mean1,std1,mean2,std2,t,p
1,3497.8350304749492,3586.6800232934593,1865.585956107232,2025.9446797486287,2.513285803215693,0.013995685547808103
2,2133.313293301753,2633.9201793421157,3304.566766972127,2759.8968801099654,-1.9542226105324605,0.054213523405267076
3,7943.152760007862,5701.597354839943,7758.207755131548,5728.188611802614,0.14562151099200946,0.8845911040638803
4,685.6554808069674,867.0947889213766,1395.3894877324788,1508.5359307805493,-2.6039546731658594,0.011005187790865893
5,876.578731811668,1189.7756455995386,1100.3187894643675,1285.9743969133224,-0.8130778808659399,0.4186170960997765
6,1234.8277352629796,1879.824132367433,1621.5201690392591,1851.2043002081246,-0.932591787706503,0.3538722974754941
7,296.69208010321705,1403.640119897937,1699.8562270031186,2281.7540263281135,-3.342614935371318,0.0012703240170230964
8,6778.171079846346,6004.248922023538,8024.688098196991,6218.3507717152615,-0.9178542088939698,0.3614889612505934
9,218.17636585365852,952.8179303622165,331.73740438612265,514.6046297012914,-0.6650158051351199,0.5079771608190002
10,344.4269520325204,874.049140339349,857.970184868891,1666.565615454622,-1.742818622281615,0.08525639201352232
11,4199.8592854047265,4015.0932117397006,4627.364249991868,3868.3417415273043,-0.487817723255374,0.6270300793488097
