item,mean1,std1,mean2,std2,t,p
1,628.6585365853658,759.9380438481843,509.7,568.39509552369,0.796258315480035,0.4282682341985392
2,831.5365853658536,623.375693204386,1162.7,751.8590020571404,-2.1602178558352643,0.033787093580495774
3,1641.6829268292684,1229.4177979642313,1640.95,798.5066815705554,0.003173319724392933,0.9974760610744262
4,573.0731707317074,344.1379367523946,664.025,490.5712780485154,-0.9679237998685238,0.33603640289859316
5,610.6829268292682,399.2440631383509,602.75,486.4771715728688,0.08031312593623935,0.9361913281678937
6,518.829268292683,419.0721836652383,481.125,407.1648810796621,0.41055463955956123,0.6825105353854646
7,57.68292682926829,215.30773778761298,538.625,566.0769489914663,-5.077335944728259,2.491715935539245e-06
8,860.560975609756,841.7809408860625,1030.7,720.0485097618467,-0.9764254480089681,0.33183423523165445
9,19.609756097560975,66.5597017904905,197.525,244.27212520843662,-4.49638496948365,2.3404374868613095e-05
10,52.58536585365854,112.438866858786,324.725,334.5517466010993,-4.931578481255627,4.423782631933331e-06
11,322.780487804878,445.11282346137375,650.35,535.6043579034139,-2.9966202328355958,0.0036467101623283648
