item,mean1,std1,mean2,std2,t,p
1,566.0434782608696,530.0581853361923,884.6511627906976,735.0356610630058,-1.836233450039489,0.07096852833003331
2,1179.3478260869565,707.3115302259067,1245.1627906976744,812.9099384964562,-0.32737369784844367,0.7444536932964962
3,1443.9130434782608,970.2998090114152,2210.9767441860463,1116.5614198100322,-2.778849258787663,0.0071522288932758474
4,911.7391304347826,1002.5687560820636,668.7906976744187,398.4406246104654,1.402420498305327,0.16562187677070545
5,641.0869565217391,464.1597406304584,737.7906976744187,552.7064819137746,-0.7144503698677436,0.47754660153999773
6,522.9130434782609,423.34994261608614,659.8139534883721,512.2390743827281,-1.0959960947428131,0.27718761067959147
7,93.47826086956522,229.5453747113703,659.4883720930233,434.39648183773437,-5.815499940412012,2.090071613347274e-07
8,1290.608695652174,1276.5157029668492,1540.3023255813953,1284.7852059666056,-0.7539855711695346,0.45362308228317627
9,103.91304347826087,185.92542812142284,343.8139534883721,279.163994797217,-3.699116143254064,0.00045158696276358383
10,244.04347826086956,278.15716261607304,430.7906976744186,380.1320295784169,-2.074563130130687,0.042053663439441676
11,463.60869565217394,499.8474984824175,558.7209302325581,399.3470459674437,-0.8434640174837952,0.4021105068101877
