item,mean1,std1,mean2,std2,t,p
I1,4.208695652173914,0.8654547115288643,4.502325581395349,0.5946140693532808,-1.6246131124307985,0.10916025436968209
I2,5.343478260869566,0.4813107925772944,5.125581395348838,0.5403231058295072,1.6196177384068828,0.1102320847064972
I3,5.086956521739131,0.6683115412781179,5.076744186046512,0.6395077010230401,0.06086065147303356,0.9516598445585905
FC1,5.534782608695651,0.8127443384507791,5.341860465116278,0.7342740367320815,0.9798556355941728,0.3308469601856494
FC2,5.97391304347826,0.74114002560205,5.620930232558139,0.7359988805422658,1.8520752658427826,0.0686282258710478
FC3,5.547826086956522,0.8409245805645287,5.788372093023255,0.7085227093600094,-1.2306292546826498,0.22296539321672518
FC4,6.056521739130435,0.7861448437883567,5.744186046511628,0.9972109500242581,1.2999590367213838,0.19827749955674986
FC5,5.104347826086957,1.1585564140027353,5.4767441860465125,0.8692737004732404,-1.473366300872854,0.1455538864720868
FC6,5.817391304347827,0.8211146381668383,5.3604651162790695,1.1385327932796667,1.70008772925853,0.09396981797228307
FC7,5.678260869565217,0.7710421057593125,5.709302325581396,0.909163391855227,-0.1390481309083833,0.8898487385781164
FC8,5.539130434782609,0.7855161189450728,5.409302325581395,0.8978317674339167,0.5837857290651773,0.561416409587827
FC9,5.408695652173913,1.1208410168173886,5.674418604651163,1.0417688764916038,-0.9616787335106638,0.3398304290262313
FC10,4.969565217391305,1.0065398798081817,5.202325581395349,0.9558064089934051,-0.9255065389965822,0.3581792542344754
FC11,5.0608695652173905,0.8354308254018525,5.767441860465117,0.8604320427033979,-3.2105811003621665,0.002072845856495278
report,6.452173913043478,0.6430534865477869,6.230232558139535,1.145495293939935,0.8577476282881323,0.394232642667515
workshops,5.321739130434782,1.3286892111260804,5.388372093023256,0.91578987565135,-0.23977489545513003,0.8112710630432509
lecture_participation,3.8739130434782614,2.0518766114117333,2.911627906976744,2.0428981866719202,1.8206508527549723,0.07333551349772995
NF,5.504347826086957,0.4226305724749617,5.527906976744187,0.33261273162024385,-0.24913311749145714,0.8040556255693188
