item,mean1,std1,mean2,std2,t,p
I1,4.297560975609756,0.6653900378267054,4.4325,0.6052706535943769,-0.9540529107110328,0.34296705422399976
I2,4.951219512195122,0.465361123870222,4.86,0.525161757742195,0.8278917367273837,0.4102258416939327
I3,4.678048780487805,0.6471136666467303,4.8625,0.6331393090113617,-1.2963112398089125,0.19864238283156369
FC1,5.468292682926829,0.6393117488323846,5.1875,0.8750641002161953,1.6519575062961198,0.10251279086736387
FC2,5.9487804878048784,0.6779092679774751,5.475,0.9281218973875449,2.6282259085784747,0.01030950230482938
FC3,5.663414634146341,0.8943590155974769,5.672499999999999,0.805744599097232,-0.04799563228480573,0.961840854206949
FC4,5.865853658536586,0.8802300142853461,5.297499999999999,0.864243407071565,2.931535169289967,0.004409968736695582
FC5,5.1,1.0938464243210744,5.182499999999999,1.0731901879383632,-0.34255080367169255,0.732846161302569
FC6,5.434146341463414,0.8670668244424881,4.6875,1.3384237763609121,2.987081276366516,0.00375034272455134
FC7,5.331707317073171,0.5702802049827103,5.365,1.0214494477745701,-0.18170023947003622,0.8562833833709893
FC8,5.029268292682927,0.8047496202046398,5.0675,0.9285741758201118,-0.1981705549799231,0.8434206920022036
FC9,4.848780487804878,0.9176388045466235,4.8875,1.2669744902618834,-0.15781229606166958,0.8750073880998972
FC10,4.3829268292682935,0.8479099123799623,5.1775,0.9859233600005995,-3.8919638613666248,0.00020644126620874556
FC11,4.66829268292683,0.8889429184121566,5.485,0.9507217231513094,-3.9946334429423036,0.00014439507168926777
report,5.47560975609756,1.7367758185506956,5.4475,2.021675809056209,0.06717815826997059,0.9466096019936215
workshops,4.741463414634146,1.4377022657275216,5.032500000000001,0.9560569396196399,-1.0700353822507067,0.2878618233707581
lecture_participation,2.885365853658537,2.1297371874963535,2.4325,1.9149061033417238,1.0055323086785375,0.31771061662774497
NF,5.078048780487805,0.3636703143796255,5.125,0.37943953269837216,-0.5686200192515733,0.5712269662037297
