item,mean1,std1,mean2,std2,t,p
I1,4.4990825688073395,0.9171711150218247,4.530827067669172,0.6528701726163433,-0.3138189704340922,0.7539311258249446
I2,5.104587155963302,0.7883862233961922,5.075939849624059,0.665166916388325,0.30658139789614264,0.7594278263625689
I3,4.837614678899082,0.8665372756857637,5.112781954887218,0.651968294199652,-2.8167631180161803,0.005254705913074
FC1,5.51743119266055,0.7490542230159368,5.386466165413535,0.7978932444433694,1.305747997908183,0.19288848852640056
FC2,5.876146788990827,0.8302051378099724,5.600751879699248,0.7942498119153071,2.629457659408471,0.009104684795216431
FC3,5.623853211009175,0.8388593537003209,5.742857142857143,0.7157625425488662,-1.1906531592842828,0.2349660820821352
FC4,5.957798165137613,0.9464645302564906,5.557894736842106,0.9640673406565405,3.2370100801063018,0.0013782475683986174
FC5,5.224770642201836,1.1625447791696384,5.2781954887218046,1.0091504337105952,-0.3825596120324802,0.7023848924092481
FC6,5.5963302752293576,0.8928654045537869,5.078195488721805,1.2229087496536668,3.6897689157631106,0.00027774391445828926
FC7,5.490825688073392,0.6932934396113143,5.476691729323308,1.0015054742013745,0.1248326132017482,0.9007605634962758
FC8,5.329357798165139,0.8575700762094733,5.296992481203008,0.9423487620498999,0.2767423223474063,0.7822161610824115
FC9,5.125688073394496,1.0417580999627125,5.4293233082706776,1.1721375161648455,-2.1070297291045645,0.036153057547878106
FC10,4.743119266055046,1.080669114782088,5.307518796992482,0.9527173306621416,-4.315282434369748,2.3313181624810906e-05
FC11,4.8807339449541285,0.9692949962062142,5.643609022556391,0.8989348396733674,-6.3403932824443645,1.1270359074938907e-09
report,5.773394495412844,1.6554423265810514,5.990225563909775,1.4258896564502592,-1.0944204504831403,0.27486777016625424
workshops,5.122935779816514,1.3719162745430564,5.31203007518797,1.017650115051528,-1.2296824002684101,0.2200201611675977
lecture_participation,3.4422018348623853,2.1566131531220023,3.0203007518796987,2.0833670081580076,1.5427470598896373,0.12420964853439369
NF,5.315596330275231,0.6973726236974783,5.423308270676691,0.50570790737598,-1.3904093885998523,0.1656926086628766
